,file,algorithm,slots,runtime
369,data_50-0.08-2783.in,code2,-1,1.000000e+02
370,data_70-0.16-6726.in,code1,-1,1.000000e+02
371,data_70-0.16-6726.in,code2,-1,1.000000e+02
372,data_60-0.32-7107.in,code1,-1,1.000000e+02
373,data_60-0.32-7107.in,code2,-1,1.000000e+02
374,data_90-0.64-334.in,code1,-1,1.000000e+02
375,data_90-0.64-334.in,code2,-1,1.000000e+02
376,data_70-0.02-334.in,code1,2,6.483000e-03
377,data_70-0.02-334.in,code2,2,5.102000e-03
378,data_30-0.64-2405.in,code1,-1,1.000000e+02
379,data_30-0.64-2405.in,code2,-1,1.000000e+02
380,data_40-0.04-183.in,code1,3,7.488111e+01
381,data_40-0.04-183.in,code2,3,7.487406e+01
382,data_70-0.04-487.in,code1,3,2.050300e-02
383,data_70-0.04-487.in,code2,3,1.979200e-02
384,data_60-0.02-9665.in,code1,2,1.302000e-03
385,data_60-0.02-9665.in,code2,2,1.078000e-03
386,data_70-0.16-6757.in,code1,-1,1.000000e+02
387,data_70-0.16-6757.in,code2,-1,1.000000e+02
388,data_70-0.64-721.in,code1,-1,1.000000e+02
389,data_70-0.64-721.in,code2,-1,1.000000e+02
390,data_80-0.16-2405.in,code1,-1,1.000000e+02
391,data_80-0.16-2405.in,code2,-1,1.000000e+02
392,data_10-0.02-487.in,code1,2,1.600000e-05
393,data_10-0.02-487.in,code2,2,5.000000e-06
394,data_50-0.16-9544.in,code1,-1,1.000000e+02
395,data_50-0.16-9544.in,code2,-1,1.000000e+02
396,data_20-0.04-2275.in,code1,2,8.600000e-05
397,data_20-0.04-2275.in,code2,2,1.000000e-05
398,data_10-0.08-4783.in,code1,2,2.100000e-05
399,data_10-0.08-4783.in,code2,2,5.000000e-06
400,data_2-0.32-2405.in,code1,1,2.000000e-06
401,data_2-0.32-2405.in,code2,2,1.000000e-06
402,data_60-0.04-6757.in,code1,3,6.995070e-01
403,data_60-0.04-6757.in,code2,3,6.854090e-01
404,data_100-0.08-721.in,code1,-1,1.000000e+02
405,data_100-0.08-721.in,code2,-1,1.000000e+02
406,data_20-0.64-5855.in,code1,6,2.576000e-03
407,data_20-0.64-5855.in,code2,6,2.717000e-03
408,data_50-0.16-183.in,code1,-1,1.000000e+02
409,data_50-0.16-183.in,code2,-1,1.000000e+02
410,data_100-0.16-6930.in,code1,-1,1.000000e+02
411,data_100-0.16-6930.in,code2,-1,1.000000e+02
412,data_30-0.64-7215.in,code1,9,2.363121e+01
413,data_30-0.64-7215.in,code2,9,2.424528e+01
414,data_50-0.04-7215.in,code1,3,2.011500e-02
415,data_50-0.04-7215.in,code2,3,2.020600e-02
416,data_100-0.04-334.in,code1,-1,1.000000e+02
417,data_100-0.04-334.in,code2,-1,1.000000e+02
418,data_40-0.04-721.in,code1,3,2.567000e-02
419,data_40-0.04-721.in,code2,3,2.430800e-02
420,data_30-0.32-8105.in,code1,5,1.838140e-01
421,data_30-0.32-8105.in,code2,5,1.859710e-01
422,data_100-0.32-3705.in,code1,-1,1.000000e+02
423,data_100-0.32-3705.in,code2,-1,1.000000e+02
424,data_90-0.08-7107.in,code1,-1,1.000000e+02
425,data_90-0.08-7107.in,code2,-1,1.000000e+02
426,data_80-0.16-7215.in,code1,-1,1.000000e+02
427,data_80-0.16-7215.in,code2,-1,1.000000e+02
428,data_2-0.04-9806.in,code1,1,3.000000e-06
429,data_2-0.04-9806.in,code2,2,2.000000e-06
430,data_100-0.32-6573.in,code1,-1,1.000000e+02
431,data_100-0.32-6573.in,code2,-1,1.000000e+02
432,data_60-0.64-6194.in,code1,-1,1.000000e+02
433,data_60-0.64-6194.in,code2,-1,1.000000e+02
434,data_40-0.64-6930.in,code1,-1,1.000000e+02
435,data_40-0.64-6930.in,code2,-1,1.000000e+02
436,data_2-0.08-6194.in,code1,1,3.000000e-06
437,data_2-0.08-6194.in,code2,2,2.000000e-06
438,data_30-0.08-6489.in,code1,3,3.859000e-03
439,data_30-0.08-6489.in,code2,3,3.436000e-03
440,data_60-0.02-9806.in,code1,3,2.212441e+01
441,data_60-0.02-9806.in,code2,3,2.222109e+01
442,data_80-0.64-3401.in,code1,-1,1.000000e+02
443,data_80-0.64-3401.in,code2,-1,1.000000e+02
444,data_100-0.64-579.in,code1,-1,1.000000e+02
445,data_100-0.64-579.in,code2,-1,1.000000e+02
446,data_90-0.64-7215.in,code1,-1,1.000000e+02
447,data_90-0.64-7215.in,code2,-1,1.000000e+02
448,data_70-0.04-721.in,code1,-1,1.000000e+02
449,data_70-0.04-721.in,code2,-1,1.000000e+02
450,data_70-0.32-6726.in,code1,-1,1.000000e+02
451,data_70-0.32-6726.in,code2,-1,1.000000e+02
452,data_50-0.64-487.in,code1,-1,1.000000e+02
453,data_50-0.64-487.in,code2,-1,1.000000e+02
454,data_70-0.02-487.in,code1,-1,1.000000e+02
455,data_70-0.02-487.in,code2,-1,1.000000e+02
456,data_50-0.02-5840.in,code1,3,2.287766e+01
457,data_50-0.02-5840.in,code2,3,2.291722e+01
458,data_50-0.02-3401.in,code1,2,6.780000e-04
459,data_50-0.02-3401.in,code2,2,1.260000e-04
460,data_20-0.04-6757.in,code1,3,5.000000e-04
461,data_20-0.04-6757.in,code2,3,4.800000e-04
462,data_40-0.16-9806.in,code1,4,6.146500e-02
463,data_40-0.16-9806.in,code2,4,6.293400e-02
464,data_2-0.32-6489.in,code1,1,2.000000e-06
465,data_2-0.32-6489.in,code2,2,2.000000e-06
466,data_20-0.16-5840.in,code1,3,3.900000e-04
467,data_20-0.16-5840.in,code2,3,2.510000e-04
468,data_50-0.16-133.in,code1,-1,1.000000e+02
469,data_50-0.16-133.in,code2,-1,1.000000e+02
470,data_30-0.04-6726.in,code1,3,3.844000e-03
471,data_30-0.04-6726.in,code2,3,4.450000e-03
472,data_30-0.64-6930.in,code1,9,9.476761e+01
473,data_30-0.64-6930.in,code2,9,9.512556e+01
474,data_2-0.32-7107.in,code1,2,0.000000e+00
475,data_2-0.32-7107.in,code2,2,2.000000e-06
476,data_30-0.16-6573.in,code1,4,1.617800e-02
477,data_30-0.16-6573.in,code2,4,1.415400e-02
478,data_80-0.32-334.in,code1,-1,1.000000e+02
479,data_80-0.32-334.in,code2,-1,1.000000e+02
480,data_2-0.02-9806.in,code1,1,3.000000e-06
481,data_2-0.02-9806.in,code2,2,3.000000e-06
482,data_2-0.16-6930.in,code1,1,3.000000e-06
483,data_2-0.16-6930.in,code2,2,2.000000e-06
484,data_2-0.64-2783.in,code1,2,1.000000e-06
485,data_2-0.64-2783.in,code2,2,2.000000e-06
486,data_2-0.02-9544.in,code1,1,3.000000e-06
487,data_2-0.02-9544.in,code2,2,3.000000e-06
488,data_90-0.16-6726.in,code1,-1,1.000000e+02
489,data_90-0.16-6726.in,code2,-1,1.000000e+02
490,data_60-0.08-8105.in,code1,3,3.354087e+01
491,data_60-0.08-8105.in,code2,3,3.374918e+01
492,data_30-0.08-8105.in,code1,2,9.570000e-04
