,file,algorithm,slots,runtime
213,data_8-0.22627416997969532-8105.in,code2,2,3.000000e-06
214,data_92-0.6400000000000005-8105.in,code1,-1,1.000000e+02
215,data_92-0.6400000000000005-8105.in,code2,-1,1.000000e+02
216,data_64-0.08000000000000002-8105.in,code1,-1,1.000000e+02
217,data_64-0.08000000000000002-8105.in,code2,-1,1.000000e+02
218,data_60-0.028284271247461905-6757.in,code1,3,1.224100e-02
219,data_60-0.028284271247461905-6757.in,code2,3,1.031200e-02
220,data_100-0.3200000000000002-6757.in,code1,-1,1.000000e+02
221,data_100-0.3200000000000002-6757.in,code2,-1,1.000000e+02
222,data_100-0.1600000000000001-8105.in,code1,-1,1.000000e+02
223,data_100-0.1600000000000001-8105.in,code2,-1,1.000000e+02
224,data_36-0.6400000000000005-8105.in,code1,-1,1.000000e+02
225,data_36-0.6400000000000005-8105.in,code2,-1,1.000000e+02
226,data_28-0.45254833995939064-579.in,code1,6,1.118261e+00
227,data_28-0.45254833995939064-579.in,code2,6,6.703160e-01
228,data_36-0.04000000000000001-8105.in,code1,2,4.001000e-03
229,data_36-0.04000000000000001-8105.in,code2,2,2.498000e-03
230,data_96-0.1600000000000001-183.in,code1,-1,1.000000e+02
231,data_96-0.1600000000000001-183.in,code2,-1,1.000000e+02
232,data_36-0.3200000000000002-183.in,code1,6,6.485319e+00
233,data_36-0.3200000000000002-183.in,code2,6,6.563885e+00
234,data_88-0.08000000000000002-6757.in,code1,-1,1.000000e+02
235,data_88-0.08000000000000002-6757.in,code2,-1,1.000000e+02
236,data_28-0.08000000000000002-183.in,code1,3,1.268100e-02
237,data_28-0.08000000000000002-183.in,code2,3,1.098200e-02
238,data_12-0.11313708498984765-579.in,code1,2,2.200000e-05
239,data_12-0.11313708498984765-579.in,code2,2,9.000000e-06
240,data_40-0.02-8105.in,code1,2,4.850000e-04
241,data_40-0.02-8105.in,code2,2,1.400000e-04
242,data_92-0.22627416997969532-8105.in,code1,-1,1.000000e+02
243,data_92-0.22627416997969532-8105.in,code2,-1,1.000000e+02
244,data_52-0.02-183.in,code1,2,4.927840e-01
245,data_52-0.02-183.in,code2,2,4.885440e-01
246,data_80-0.08000000000000002-183.in,code1,-1,1.000000e+02
247,data_80-0.08000000000000002-183.in,code2,-1,1.000000e+02
248,data_48-0.22627416997969532-183.in,code1,-1,1.000000e+02
249,data_48-0.22627416997969532-183.in,code2,-1,1.000000e+02
250,data_96-0.04000000000000001-579.in,code1,-1,1.000000e+02
251,data_96-0.04000000000000001-579.in,code2,-1,1.000000e+02
252,data_36-0.04000000000000001-579.in,code1,2,2.173200e-02
253,data_36-0.04000000000000001-579.in,code2,2,2.025600e-02
254,data_28-0.45254833995939064-183.in,code1,6,5.815760e-01
255,data_28-0.45254833995939064-183.in,code2,6,5.851420e-01
256,data_12-0.22627416997969532-183.in,code1,3,3.900000e-05
257,data_12-0.22627416997969532-183.in,code2,3,2.700000e-05
258,data_80-0.3200000000000002-183.in,code1,-1,1.000000e+02
259,data_80-0.3200000000000002-183.in,code2,-1,1.000000e+02
260,data_96-0.05656854249492382-3648.in,code1,-1,1.000000e+02
261,data_96-0.05656854249492382-3648.in,code2,-1,1.000000e+02
262,data_24-0.02-8105.in,code1,2,1.290000e-04
263,data_24-0.02-8105.in,code2,2,1.200000e-05
264,data_40-0.04000000000000001-183.in,code1,3,7.551900e+01
265,data_40-0.04000000000000001-183.in,code2,3,7.492398e+01
266,data_68-0.22627416997969532-183.in,code1,-1,1.000000e+02
267,data_68-0.22627416997969532-183.in,code2,-1,1.000000e+02
268,data_12-0.1600000000000001-6757.in,code1,3,2.400000e-05
269,data_12-0.1600000000000001-6757.in,code2,3,9.000000e-06
270,data_48-0.1600000000000001-579.in,code1,4,5.786069e+00
271,data_48-0.1600000000000001-579.in,code2,4,5.717147e+00
272,data_8-0.22627416997969532-183.in,code1,3,1.500000e-05
273,data_8-0.22627416997969532-183.in,code2,3,1.300000e-05
274,data_68-0.1600000000000001-183.in,code1,-1,1.000000e+02
275,data_68-0.1600000000000001-183.in,code2,-1,1.000000e+02
276,data_12-0.05656854249492382-8105.in,code1,2,3.100000e-05
277,data_12-0.05656854249492382-8105.in,code2,2,5.000000e-06
278,data_88-0.04000000000000001-6757.in,code1,-1,1.000000e+02
279,data_88-0.04000000000000001-6757.in,code2,-1,1.000000e+02
280,data_44-0.02-6757.in,code1,2,3.800000e-04
281,data_44-0.02-6757.in,code2,2,2.200000e-05
282,data_12-0.028284271247461905-6757.in,code1,2,2.400000e-05
283,data_12-0.028284271247461905-6757.in,code2,2,4.000000e-06
284,data_56-0.02-6757.in,code1,2,5.850000e-04
285,data_56-0.02-6757.in,code2,2,3.100000e-05
286,data_20-0.6400000000000005-3648.in,code1,7,4.678000e-02
287,data_20-0.6400000000000005-3648.in,code2,7,4.499100e-02
288,data_32-0.04000000000000001-6757.in,code1,2,3.740000e-04
289,data_32-0.04000000000000001-6757.in,code2,2,2.490000e-04
290,data_88-0.1600000000000001-8105.in,code1,-1,1.000000e+02
291,data_88-0.1600000000000001-8105.in,code2,-1,1.000000e+02
292,data_96-0.6400000000000005-6757.in,code1,-1,1.000000e+02
293,data_96-0.6400000000000005-6757.in,code2,-1,1.000000e+02
294,data_4-0.02-579.in,code1,1,4.000000e-06
295,data_4-0.02-579.in,code2,2,2.000000e-06
296,data_28-0.22627416997969532-579.in,code1,4,5.010000e-04
297,data_28-0.22627416997969532-579.in,code2,4,3.510000e-04
298,data_88-0.3200000000000002-3648.in,code1,-1,1.000000e+02
299,data_88-0.3200000000000002-3648.in,code2,-1,1.000000e+02
300,data_16-0.04000000000000001-6757.in,code1,3,6.400000e-05
301,data_16-0.04000000000000001-6757.in,code2,3,2.100000e-05
302,data_72-0.028284271247461905-3648.in,code1,-1,1.000000e+02
303,data_72-0.028284271247461905-3648.in,code2,-1,1.000000e+02
304,data_96-0.028284271247461905-579.in,code1,-1,1.000000e+02
305,data_96-0.028284271247461905-579.in,code2,-1,1.000000e+02
306,data_2-0.04000000000000001-579.in,code1,1,2.000000e-06
307,data_2-0.04000000000000001-579.in,code2,2,2.000000e-06
308,data_76-0.45254833995939064-6757.in,code1,-1,1.000000e+02
309,data_76-0.45254833995939064-6757.in,code2,-1,1.000000e+02
310,data_4-0.6400000000000005-8105.in,code1,4,2.000000e-06
311,data_4-0.6400000000000005-8105.in,code2,4,4.000000e-06
312,data_64-0.08000000000000002-579.in,code1,-1,1.000000e+02
313,data_64-0.08000000000000002-579.in,code2,-1,1.000000e+02
314,data_96-0.1600000000000001-8105.in,code1,-1,1.000000e+02
315,data_96-0.1600000000000001-8105.in,code2,-1,1.000000e+02
316,data_20-0.6400000000000005-579.in,code1,8,3.870160e-01
317,data_20-0.6400000000000005-579.in,code2,8,3.893670e-01
318,data_52-0.3200000000000002-579.in,code1,-1,1.000000e+02
319,data_52-0.3200000000000002-579.in,code2,-1,1.000000e+02
320,data_2-0.1600000000000001-3648.in,code1,1,2.000000e-06
321,data_2-0.1600000000000001-3648.in,code2,2,1.000000e-06
322,data_56-0.028284271247461905-8105.in,code1,3,4.135265e+00
323,data_56-0.028284271247461905-8105.in,code2,3,4.115743e+00
324,data_60-0.11313708498984765-3648.in,code1,-1,1.000000e+02
325,data_60-0.11313708498984765-3648.in,code2,-1,1.000000e+02
326,data_100-0.028284271247461905-6757.in,code1,-1,1.000000e+02
327,data_100-0.028284271247461905-6757.in,code2,-1,1.000000e+02
328,data_76-0.45254833995939064-8105.in,code1,-1,1.000000e+02
329,data_76-0.45254833995939064-8105.in,code2,-1,1.000000e+02
330,data_72-0.028284271247461905-183.in,code1,3,9.905530e-01
331,data_72-0.028284271247461905-183.in,code2,3,9.870030e-01
332,data_60-0.028284271247461905-183.in,code1,3,7.190000e-04
333,data_60-0.028284271247461905-183.in,code2,3,6.700000e-05
334,data_60-0.6400000000000005-3648.in,code1,-1,1.000000e+02
335,data_60-0.6400000000000005-3648.in,code2,-1,1.000000e+02
336,data_32-0.3200000000000002-6757.in,code1,5,1.752400e-02
337,data_32-0.3200000000000002-6757.in,code2,5,1.418500e-02
338,data_80-0.3200000000000002-579.in,code1,-1,1.000000e+02
339,data_80-0.3200000000000002-579.in,code2,-1,1.000000e+02
340,data_4-0.45254833995939064-6757.in,code1,3,2.000000e-06
341,data_4-0.45254833995939064-6757.in,code2,3,3.000000e-06
342,data_88-0.02-579.in,code1,-1,1.000000e+02
343,data_88-0.02-579.in,code2,-1,1.000000e+02
344,data_12-0.028284271247461905-579.in,code1,2,2.300000e-05
345,data_12-0.028284271247461905-579.in,code2,2,4.000000e-06
346,data_36-0.08000000000000002-183.in,code1,3,2.404100e-02
347,data_36-0.08000000000000002-183.in,code2,3,2.631500e-02
348,data_76-0.22627416997969532-6757.in,code1,-1,1.000000e+02
349,data_76-0.22627416997969532-6757.in,code2,-1,1.000000e+02
350,data_100-0.028284271247461905-183.in,code1,-1,1.000000e+02
351,data_100-0.028284271247461905-183.in,code2,-1,1.000000e+02
352,data_56-0.02-183.in,code1,3,8.380000e-04
353,data_56-0.02-183.in,code2,3,2.490000e-04
354,data_84-0.11313708498984765-8105.in,code1,-1,1.000000e+02
355,data_84-0.11313708498984765-8105.in,code2,-1,1.000000e+02
356,data_2-0.05656854249492382-8105.in,code1,1,3.000000e-06
357,data_2-0.05656854249492382-8105.in,code2,2,2.000000e-06
358,data_100-0.45254833995939064-3648.in,code1,-1,1.000000e+02
359,data_100-0.45254833995939064-3648.in,code2,-1,1.000000e+02
360,data_44-0.6400000000000005-3648.in,code1,-1,1.000000e+02
361,data_44-0.6400000000000005-3648.in,code2,-1,1.000000e+02
362,data_100-0.45254833995939064-183.in,code1,-1,1.000000e+02
363,data_100-0.45254833995939064-183.in,code2,-1,1.000000e+02
364,data_48-0.05656854249492382-183.in,code1,3,8.156000e-03
365,data_48-0.05656854249492382-183.in,code2,3,7.206000e-03
366,data_68-0.05656854249492382-3648.in,code1,-1,1.000000e+02
367,data_68-0.05656854249492382-3648.in,code2,-1,1.000000e+02
368,data_60-0.08000000000000002-6757.in,code1,4,9.931002e+00
369,data_60-0.08000000000000002-6757.in,code2,4,9.938065e+00
370,data_80-0.05656854249492382-6757.in,code1,-1,1.000000e+02
371,data_80-0.05656854249492382-6757.in,code2,-1,1.000000e+02
372,data_24-0.45254833995939064-3648.in,code1,6,3.904600e-02
373,data_24-0.45254833995939064-3648.in,code2,6,3.426800e-02
374,data_16-0.028284271247461905-3648.in,code1,2,4.400000e-05
375,data_16-0.028284271247461905-3648.in,code2,2,9.000000e-06
376,data_84-0.1600000000000001-183.in,code1,-1,1.000000e+02
377,data_84-0.1600000000000001-183.in,code2,-1,1.000000e+02
378,data_4-0.02-3648.in,code1,1,5.000000e-06
379,data_4-0.02-3648.in,code2,2,2.000000e-06
380,data_44-0.05656854249492382-183.in,code1,3,3.876000e-03
381,data_44-0.05656854249492382-183.in,code2,3,3.627000e-03
382,data_16-0.1600000000000001-6757.in,code1,3,7.900000e-05
383,data_16-0.1600000000000001-6757.in,code2,3,4.300000e-05
384,data_80-0.02-183.in,code1,3,3.894987e+00
385,data_80-0.02-183.in,code2,3,3.901238e+00
386,data_8-0.1600000000000001-579.in,code1,2,1.300000e-05
387,data_8-0.1600000000000001-579.in,code2,2,7.000000e-06
388,data_4-0.45254833995939064-579.in,code1,3,2.000000e-06
389,data_4-0.45254833995939064-579.in,code2,3,2.000000e-06
390,data_12-0.08000000000000002-3648.in,code1,3,2.300000e-05
391,data_12-0.08000000000000002-3648.in,code2,3,1.200000e-05
392,data_2-0.028284271247461905-3648.in,code1,1,2.000000e-06
393,data_2-0.028284271247461905-3648.in,code2,2,3.000000e-06
394,data_96-0.08000000000000002-3648.in,code1,-1,1.000000e+02
395,data_96-0.08000000000000002-3648.in,code2,-1,1.000000e+02
396,data_56-0.45254833995939064-579.in,code1,-1,1.000000e+02
397,data_56-0.45254833995939064-579.in,code2,-1,1.000000e+02
398,data_60-0.3200000000000002-8105.in,code1,-1,1.000000e+02
399,data_60-0.3200000000000002-8105.in,code2,-1,1.000000e+02
400,data_96-0.6400000000000005-183.in,code1,-1,1.000000e+02
401,data_96-0.6400000000000005-183.in,code2,-1,1.000000e+02
402,data_92-0.08000000000000002-579.in,code1,-1,1.000000e+02
403,data_92-0.08000000000000002-579.in,code2,-1,1.000000e+02
404,data_80-0.45254833995939064-579.in,code1,-1,1.000000e+02
405,data_80-0.45254833995939064-579.in,code2,-1,1.000000e+02
406,data_60-0.3200000000000002-6757.in,code1,-1,1.000000e+02
407,data_60-0.3200000000000002-6757.in,code2,-1,1.000000e+02
408,data_2-0.22627416997969532-6757.in,code1,1,3.000000e-06
409,data_2-0.22627416997969532-6757.in,code2,2,2.000000e-06
410,data_100-0.05656854249492382-6757.in,code1,-1,1.000000e+02
411,data_100-0.05656854249492382-6757.in,code2,-1,1.000000e+02
412,data_88-0.05656854249492382-8105.in,code1,-1,1.000000e+02
413,data_88-0.05656854249492382-8105.in,code2,-1,1.000000e+02
