group1,group2,meandiff,p-adj,lower,upper,reject
code1:76:0.04000000000000001,code2:76:0.04000000000000001,-0.1093,0.9,-61.5606,61.3421,False
code1:76:0.05656854249492382,code2:76:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:76:0.08000000000000002,code2:76:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:76:0.11313708498984765,code2:76:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:76:0.1600000000000001,code2:76:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:76:0.22627416997969532,code2:76:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:76:0.3200000000000002,code2:76:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:76:0.45254833995939064,code2:76:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:76:0.6400000000000005,code2:76:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:80:0.02,code2:80:0.02,0.0078,0.9,-61.4435,61.4591,False
code1:80:0.028284271247461905,code2:80:0.028284271247461905,-0.0265,0.9,-61.4778,61.4248,False
code1:80:0.04000000000000001,code2:80:0.04000000000000001,0.0,0.9,-61.4513,61.4513,False
code1:80:0.05656854249492382,code2:80:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:80:0.08000000000000002,code2:80:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:80:0.11313708498984765,code2:80:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:80:0.1600000000000001,code2:80:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:80:0.22627416997969532,code2:80:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:80:0.3200000000000002,code2:80:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:80:0.45254833995939064,code2:80:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:80:0.6400000000000005,code2:80:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:84:0.02,code2:84:0.02,0.0275,0.9,-61.4239,61.4788,False
code1:84:0.028284271247461905,code2:84:0.028284271247461905,-0.0312,0.9,-61.4826,61.4201,False
code1:84:0.04000000000000001,code2:84:0.04000000000000001,0.0049,0.9,-61.4465,61.4562,False
code1:84:0.05656854249492382,code2:84:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:84:0.08000000000000002,code2:84:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:84:0.11313708498984765,code2:84:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:84:0.1600000000000001,code2:84:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:84:0.22627416997969532,code2:84:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:84:0.3200000000000002,code2:84:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:84:0.45254833995939064,code2:84:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:84:0.6400000000000005,code2:84:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:88:0.02,code2:88:0.02,-0.0118,0.9,-61.4632,61.4395,False
code1:88:0.028284271247461905,code2:88:0.028284271247461905,0.0022,0.9,-61.4491,61.4535,False
code1:88:0.04000000000000001,code2:88:0.04000000000000001,-0.0028,0.9,-61.4542,61.4485,False
code1:88:0.05656854249492382,code2:88:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:88:0.08000000000000002,code2:88:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:88:0.11313708498984765,code2:88:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:88:0.1600000000000001,code2:88:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:88:0.22627416997969532,code2:88:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:88:0.3200000000000002,code2:88:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:88:0.45254833995939064,code2:88:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:88:0.6400000000000005,code2:88:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:8:0.02,code2:8:0.02,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.028284271247461905,code2:8:0.028284271247461905,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.04000000000000001,code2:8:0.04000000000000001,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.05656854249492382,code2:8:0.05656854249492382,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.08000000000000002,code2:8:0.08000000000000002,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.11313708498984765,code2:8:0.11313708498984765,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.1600000000000001,code2:8:0.1600000000000001,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.22627416997969532,code2:8:0.22627416997969532,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.3200000000000002,code2:8:0.3200000000000002,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.45254833995939064,code2:8:0.45254833995939064,-0.0,0.9,-61.4513,61.4513,False
code1:8:0.6400000000000005,code2:8:0.6400000000000005,-0.0,0.9,-61.4513,61.4513,False
code1:92:0.02,code2:92:0.02,0.0,0.9,-61.4513,61.4513,False
code1:92:0.028284271247461905,code2:92:0.028284271247461905,-0.0277,0.9,-61.479,61.4237,False
code1:92:0.04000000000000001,code2:92:0.04000000000000001,0.0,0.9,-61.4513,61.4513,False
code1:92:0.05656854249492382,code2:92:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:92:0.08000000000000002,code2:92:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:92:0.11313708498984765,code2:92:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:92:0.1600000000000001,code2:92:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:92:0.22627416997969532,code2:92:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:92:0.3200000000000002,code2:92:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:92:0.45254833995939064,code2:92:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:92:0.6400000000000005,code2:92:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:96:0.02,code2:96:0.02,0.0,0.9,-61.4513,61.4513,False
code1:96:0.028284271247461905,code2:96:0.028284271247461905,0.0,0.9,-61.4513,61.4513,False
code1:96:0.04000000000000001,code2:96:0.04000000000000001,0.0,0.9,-61.4513,61.4513,False
code1:96:0.05656854249492382,code2:96:0.05656854249492382,0.0,0.9,-61.4513,61.4513,False
code1:96:0.08000000000000002,code2:96:0.08000000000000002,0.0,0.9,-61.4513,61.4513,False
code1:96:0.11313708498984765,code2:96:0.11313708498984765,0.0,0.9,-61.4513,61.4513,False
code1:96:0.1600000000000001,code2:96:0.1600000000000001,0.0,0.9,-61.4513,61.4513,False
code1:96:0.22627416997969532,code2:96:0.22627416997969532,0.0,0.9,-61.4513,61.4513,False
code1:96:0.3200000000000002,code2:96:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
