Exams,Probability,Seed,Code Type,N,Time
20,0.04,487,code2,2,8.000000e-06
40,0.16,721,code1,4,3.821510e-01
40,0.16,721,code2,4,3.843820e-01
40,0.08,7107,code1,4,2.202200e-02
40,0.08,7107,code2,4,1.633300e-02
2,0.08,3749,code1,1,2.000000e-06
2,0.08,3749,code2,2,3.000000e-06
60,0.16,183,code1,5,2.901898e+01
60,0.16,183,code2,5,2.921086e+01
30,0.64,6757,code1,8,1.335616e+00
30,0.64,6757,code2,8,1.363441e+00
70,0.04,9544,code1,3,2.891080e-01
70,0.04,9544,code2,3,2.867400e-01
30,0.04,721,code1,2,5.810000e-04
30,0.04,721,code2,2,4.030000e-04
10,0.16,6726,code1,2,2.000000e-05
10,0.16,6726,code2,2,5.000000e-06
40,0.16,1278,code1,4,2.673500e-02
40,0.16,1278,code2,4,2.271200e-02
2,0.32,9665,code1,1,2.000000e-06
2,0.32,9665,code2,2,3.000000e-06
30,0.32,183,code1,5,2.791320e-01
30,0.32,183,code2,5,2.857800e-01
2,0.08,2275,code1,1,2.000000e-06
2,0.08,2275,code2,2,2.000000e-06
50,0.04,7107,code1,3,7.522000e-03
50,0.04,7107,code2,3,1.156000e-02
2,0.16,5840,code1,1,2.000000e-06
2,0.16,5840,code2,2,2.000000e-06
90,0.02,3648,code1,3,3.675471e+00
90,0.02,3648,code2,3,3.694412e+00
10,0.02,6757,code1,1,1.700000e-05
10,0.02,6757,code2,2,4.000000e-06
30,0.08,6930,code1,3,3.116000e-03
30,0.08,6930,code2,3,2.976000e-03
2,0.02,6194,code1,1,2.000000e-06
2,0.02,6194,code2,2,2.000000e-06
50,0.08,487,code1,3,7.260210e-01
50,0.08,487,code2,3,6.836510e-01
50,0.16,6194,code1,5,3.797319e+01
50,0.16,6194,code2,5,1.287606e+01
10,0.64,8105,code1,5,7.300000e-05
10,0.64,8105,code2,5,8.900000e-05
40,0.02,2275,code1,2,2.880000e-04
40,0.02,2275,code2,2,2.000000e-05
60,0.04,2783,code1,3,1.081000e-03
60,0.04,2783,code2,3,2.480000e-04
40,0.02,183,code1,3,1.579923e+01
40,0.02,183,code2,3,1.564005e+01
20,0.64,3401,code1,7,2.797500e-02
20,0.64,3401,code2,7,2.915400e-02
10,0.16,8105,code1,2,1.200000e-05
10,0.16,8105,code2,2,4.000000e-06
2,0.04,133,code1,1,2.000000e-06
2,0.04,133,code2,2,2.000000e-06
80,0.04,5855,code1,3,2.344580e-01
80,0.04,5855,code2,3,2.294460e-01
30,0.02,6726,code1,2,1.620000e-04
30,0.02,6726,code2,2,1.500000e-05
20,0.04,8321,code1,2,6.800000e-05
20,0.04,8321,code2,2,9.000000e-06
50,0.08,7215,code1,4,4.831616e+00
50,0.08,7215,code2,4,4.941088e+00
40,0.16,334,code1,4,7.980242e+00
40,0.16,334,code2,4,7.955182e+00
2,0.64,487,code1,1,2.000000e-06
2,0.64,487,code2,2,3.000000e-06
70,0.02,2783,code1,3,1.663170e-01
70,0.02,2783,code2,3,1.637410e-01
30,0.08,2275,code1,4,6.037068e+00
30,0.08,2275,code2,4,5.992396e+00
30,0.64,334,code1,8,9.455570e-01
30,0.64,334,code2,8,9.072230e-01
20,0.04,8105,code1,2,8.800000e-05
20,0.04,8105,code2,2,1.000000e-05
40,0.08,487,code1,3,1.944560e-01
40,0.08,487,code2,3,2.004690e-01
60,0.02,6757,code1,2,1.036850e-01
