sample,file,algorithm,slots,runtime
387,data_30-0.58-45495.in,code2,8,1.194852e+01
388,data_100-0.34-11961.in,code1,-1,1.000000e+02
389,data_100-0.34-11961.in,code2,-1,1.000000e+02
390,data_70-0.5-72984.in,code1,-1,1.000000e+02
391,data_70-0.5-72984.in,code2,-1,1.000000e+02
392,data_40-0.5-20644.in,code1,-1,1.000000e+02
393,data_40-0.5-20644.in,code2,-1,1.000000e+02
394,data_80-0.34-47252.in,code1,-1,1.000000e+02
395,data_80-0.34-47252.in,code2,-1,1.000000e+02
396,data_10-0.5-26078.in,code1,3,2.200000e-05
397,data_10-0.5-26078.in,code2,3,8.000000e-06
398,data_40-0.58-45495.in,code1,-1,1.000000e+02
399,data_40-0.58-45495.in,code2,-1,1.000000e+02
400,data_70-0.62-30592.in,code1,-1,1.000000e+02
401,data_70-0.62-30592.in,code2,-1,1.000000e+02
402,data_10-0.02-38658.in,code1,2,1.700000e-05
403,data_10-0.02-38658.in,code2,2,7.000000e-06
404,data_100-0.64-25053.in,code1,-1,1.000000e+02
405,data_100-0.64-25053.in,code2,-1,1.000000e+02
406,data_40-0.02-35661.in,code1,2,1.374000e-03
407,data_40-0.02-35661.in,code2,2,2.100000e-05
408,data_70-0.34-35661.in,code1,-1,1.000000e+02
409,data_70-0.34-35661.in,code2,-1,1.000000e+02
410,data_50-0.5-25053.in,code1,-1,1.000000e+02
411,data_50-0.5-25053.in,code2,-1,1.000000e+02
412,data_40-0.62-11974.in,code1,-1,1.000000e+02
413,data_40-0.62-11974.in,code2,-1,1.000000e+02
414,data_80-0.5-26078.in,code1,-1,1.000000e+02
415,data_80-0.5-26078.in,code2,-1,1.000000e+02
416,data_20-0.62-64116.in,code1,7,9.113400e-02
417,data_20-0.62-64116.in,code2,7,9.754100e-02
418,data_30-0.58-45455.in,code1,8,1.160538e+01
419,data_30-0.58-45455.in,code2,8,2.881819e+01
420,data_90-0.64-82261.in,code1,-1,1.000000e+02
421,data_90-0.64-82261.in,code2,-1,1.000000e+02
422,data_30-0.5-23212.in,code1,7,6.936281e+00
423,data_30-0.5-23212.in,code2,-1,1.000000e+02
424,data_80-0.62-93196.in,code1,-1,1.000000e+02
425,data_80-0.62-93196.in,code2,-1,1.000000e+02
426,data_20-0.02-11974.in,code1,2,6.700000e-05
427,data_20-0.02-11974.in,code2,2,1.400000e-05
428,data_100-0.34-25053.in,code1,-1,1.000000e+02
429,data_100-0.34-25053.in,code2,-1,1.000000e+02
430,data_20-0.62-70889.in,code1,7,6.202400e-02
431,data_20-0.62-70889.in,code2,7,2.676100e-02
432,data_80-0.64-20644.in,code1,-1,1.000000e+02
433,data_80-0.64-20644.in,code2,-1,1.000000e+02
434,data_30-0.58-93196.in,code1,8,9.107933e+00
435,data_30-0.58-93196.in,code2,8,1.294161e+01
436,data_80-0.02-45455.in,code1,2,1.110445e+01
437,data_80-0.02-45455.in,code2,2,1.065240e-01
438,data_40-0.62-87626.in,code1,-1,1.000000e+02
439,data_40-0.62-87626.in,code2,-1,1.000000e+02
440,data_30-0.64-87626.in,code1,-1,1.000000e+02
441,data_30-0.64-87626.in,code2,9,5.896781e+01
442,data_60-0.64-64116.in,code1,-1,1.000000e+02
443,data_60-0.64-64116.in,code2,-1,1.000000e+02
444,data_90-0.02-30230.in,code1,-1,1.000000e+02
445,data_90-0.02-30230.in,code2,-1,1.000000e+02
446,data_10-0.02-34958.in,code1,1,1.300000e-05
447,data_10-0.02-34958.in,code2,1,4.000000e-06
448,data_90-0.5-87626.in,code1,-1,1.000000e+02
449,data_90-0.5-87626.in,code2,-1,1.000000e+02
450,data_90-0.62-93196.in,code1,-1,1.000000e+02
